Designator,Mid X,Mid Y,Rotation,Layer
C10,50.4,-18.7,180.0,top
C11,23.3,-32.2,0.0,top
C12,21.6125,-22.4,180.0,top
C13,14.15,-33.35,0.0,top
C14,52.85,-22.7,90.0,top
C15,16.2,-30.5,270.0,top
C16,18.0,-30.5,270.0,top
C17,30.65,-12.35,0.0,top
C18,10.7,-33.3,0.0,top
C19,62.4,-23.4,90.0,top
C2,13.8,-24.402651,90.0,top
C20,36.7,-13.1,180.0,top
C21,37.8,-17.8,90.0,top
C22,58.2,-19.39375,90.0,top
C23,64.2,-25.2,90.0,top
C24,32.1,-22.6,0.0,top
C25,44.3,-22.7,90.0,top
C26,50.4,-21.9,0.0,top
C27,65.9,-29.3,270.0,top
C7,40.1,-13.1,0.0,top
C8,12.397349,-39.0,0.0,top
C9,60.3,-31.5,90.0,top
D4,24.0,-17.4,270.0,top
D6,40.2,-16.8,0.0,top
D7,40.2,-18.85,180.0,top
J1,40.1,-30.1825,90.0,top
Q1,61.3,-27.5,270.0,top
Q11,6.4,-14.3,0.0,top
Q15,2.5,-17.7,180.0,top
Q16,2.5,-14.3,0.0,top
Q17,4.3,-27.3,270.0,top
Q2,21.9,-26.9,180.0,top
Q3,13.4,-30.5625,0.0,top
Q4,63.3,-19.5125,270.0,top
Q7,5.3,-21.9,270.0,top
Q9,6.4,-17.7,180.0,top
R10,59.1,-22.04375,0.0,top
R11,23.2,-29.6,180.0,top
R12,59.785,-19.39375,90.0,top
R13,62.1,-31.5,270.0,top
R14,40.1,-14.6,0.0,top
R15,58.6,-27.5,90.0,top
R16,10.35,-30.7,90.0,top
R17,64.2,-29.3,270.0,top
R19,21.625,-20.8,180.0,top
R20,20.7,-30.5,270.0,top
R21,23.3,-33.8,180.0,top
R22,56.3,-24.6,90.0,top
R23,54.6,-22.7,90.0,top
R24,65.1,-22.3,0.0,top
R25,66.0,-19.5,90.0,top
R27,59.7,-24.3,0.0,top
R28,46.9,-23.5,0.0,top
R29,50.4,-23.5,0.0,top
R3,50.4,-20.3,180.0,top
R30,46.9,-21.9,0.0,top
R31,55.9,-32.0,270.0,top
R32,25.125,-20.8,180.0,top
R33,25.1125,-22.4,180.0,top
R34,23.3125,-24.0,180.0,top
R35,5.0,-30.0,180.0,top
R36,5.3,-24.6,180.0,top
R37,56.3,-28.1,270.0,top
R38,28.0,-75.0,90.0,top
R4,32.1,-24.1,180.0,top
R5,46.9,-20.3,180.0,top
R6,34.5,-16.5,0.0,top
U1,28.95,-15.85,270.0,top
